source_path,category,authors,license,fetched_from
assets/bat.png,monster,"unknown (LPC contributor) — verify against source",presumed CC-BY-SA 3.0 / GPL 3.0,supplied via lpcmonsters.zip
assets/bee.png,monster,"unknown (LPC contributor) — verify against source",presumed CC-BY-SA 3.0 / GPL 3.0,supplied via lpcmonsters.zip
assets/big_worm.png,monster,"unknown (LPC contributor) — verify against source",presumed CC-BY-SA 3.0 / GPL 3.0,supplied via lpcmonsters.zip
assets/eyeball.png,monster,"unknown (LPC contributor) — verify against source",presumed CC-BY-SA 3.0 / GPL 3.0,supplied via lpcmonsters.zip
assets/ghost.png,monster,"unknown (LPC contributor) — verify against source",presumed CC-BY-SA 3.0 / GPL 3.0,supplied via lpcmonsters.zip
assets/man_eater_flower.png,monster,"unknown (LPC contributor) — verify against source",presumed CC-BY-SA 3.0 / GPL 3.0,supplied via lpcmonsters.zip
assets/pumpking.png,monster,"unknown (LPC contributor) — verify against source",presumed CC-BY-SA 3.0 / GPL 3.0,supplied via lpcmonsters.zip
assets/slime.png,monster,"unknown (LPC contributor) — verify against source",presumed CC-BY-SA 3.0 / GPL 3.0,supplied via lpcmonsters.zip
assets/slime-projectile.png,monster,"unknown (LPC contributor) — verify against source",presumed CC-BY-SA 3.0 / GPL 3.0,supplied via lpcmonsters.zip
assets/small_worm.png,monster,"unknown (LPC contributor) — verify against source",presumed CC-BY-SA 3.0 / GPL 3.0,supplied via lpcmonsters.zip
assets/snake.png,monster,"unknown (LPC contributor) — verify against source",presumed CC-BY-SA 3.0 / GPL 3.0,supplied via lpcmonsters.zip
