source_path,category,authors,license,fetched_from
body/bodies/male,body,"Benjamin K. Smith (BenCreating); Stephen Challener (Redshrike); Eliza Wyatt (ElizaWy); Johannes Sjölund (wulax); Matthew Krohn (makrohn); JaidynReiman; bluecarrot16; Nila122; Evert; Durrani; MuffinElZangano; Pierre V","CC-BY-SA 3.0 / GPL 3.0 / OGA-BY 3.0",https://github.com/LiberatedPixelCup/Universal-LPC-Spritesheet-Character-Generator
head/heads/human/male,head,"Benjamin K. Smith (BenCreating); Stephen Challener (Redshrike); bluecarrot16","CC-BY-SA 3.0 / GPL 3.0 / OGA-BY 3.0",https://github.com/LiberatedPixelCup/Universal-LPC-Spritesheet-Character-Generator
eyes/human/adult/default,eyes,"Stephen Challener (Redshrike); JaidynReiman","CC-BY-SA 3.0 / GPL 3.0",https://github.com/LiberatedPixelCup/Universal-LPC-Spritesheet-Character-Generator
legs/pants/male,legs,"Eliza Wyatt (ElizaWy); JaidynReiman; Joe White; Johannes Sjölund (wulax); Matthew Krohn (makrohn); Stephen Challener (Redshrike); bluecarrot16","CC-BY-SA 3.0 / GPL 3.0 / OGA-BY 3.0",https://github.com/LiberatedPixelCup/Universal-LPC-Spritesheet-Character-Generator
feet/shoes/basic/male,feet,"JaidynReiman; Joe White; Johannes Sjölund (wulax); bluecarrot16","CC-BY-SA 3.0 / GPL 3.0 / OGA-BY 3.0",https://github.com/LiberatedPixelCup/Universal-LPC-Spritesheet-Character-Generator
torso/armour/plate/male,torso,"JaidynReiman; Johannes Sjölund (wulax); Matthew Krohn (makrohn); Michael Whitlock (bigbeargames); Napsio (Vitruvian Studio); bluecarrot16","CC-BY-SA 3.0 / GPL 3.0 / OGA-BY 3.0",https://github.com/LiberatedPixelCup/Universal-LPC-Spritesheet-Character-Generator
torso/clothes/sleeveless/sleeveless1/male,torso,"Eliza Wyatt (ElizaWy); JaidynReiman; Nyom; Stephen Challener (Redshrike); bluecarrot16","CC-BY-SA 3.0 / GPL 3.0 / OGA-BY 3.0",https://github.com/LiberatedPixelCup/Universal-LPC-Spritesheet-Character-Generator
torso/clothes/longsleeve/longsleeve/male,torso,"Eliza Wyatt (ElizaWy); JaidynReiman; Johannes Sjölund (wulax); Stephen Challener (Redshrike); bluecarrot16","CC-BY-SA 3.0 / GPL 3.0 / OGA-BY 3.0",https://github.com/LiberatedPixelCup/Universal-LPC-Spritesheet-Character-Generator
torso/clothes/longsleeve/longsleeve2/male,torso,"Eliza Wyatt (ElizaWy); JaidynReiman; Johannes Sjölund (wulax); Stephen Challener (Redshrike)","OGA-BY 3.0",https://github.com/LiberatedPixelCup/Universal-LPC-Spritesheet-Character-Generator
hair/messy2/adult,hair,"JaidynReiman; Manuel Riecke (MrBeast)","CC-BY-SA 3.0 / GPL 3.0",https://github.com/LiberatedPixelCup/Universal-LPC-Spritesheet-Character-Generator
hair/long/adult,hair,"JaidynReiman; Manuel Riecke (MrBeast)","CC-BY-SA 3.0 / GPL 3.0",https://github.com/LiberatedPixelCup/Universal-LPC-Spritesheet-Character-Generator
hair/plain/adult,hair,"JaidynReiman; Joe White; Manuel Riecke (MrBeast)","CC-BY-SA 3.0 / GPL 3.0 / OGA-BY 3.0",https://github.com/LiberatedPixelCup/Universal-LPC-Spritesheet-Character-Generator
hat/helmet/greathelm/male,hat,"bluecarrot16","CC-BY 3.0 / CC-BY 4.0 / GPL 2.0 / GPL 3.0 / OGA-BY 3.0",https://github.com/LiberatedPixelCup/Universal-LPC-Spritesheet-Character-Generator
hat/magic/wizard/base/adult,hat,"JaidynReiman; Michael Whitlock (bigbeargames); Tuomo Untinen (reemax)","CC-BY-SA 3.0 / GPL 2.0 / GPL 3.0",https://github.com/LiberatedPixelCup/Universal-LPC-Spritesheet-Character-Generator
